( micro ) habitats | RESOURCE
Lake Sukkozero | LOCATION
Lake Taupo | LOCATION
Lakshadweep Islands | LOCATION
Laloki and Brown Rivers | LOCATION
Lamouroux | RESOURCE
Land use and land cover ( LULC ) maps | RESOURCE
Landes Plateau | LOCATION
Landscape connectivity | QUALITY
Large - bodied cladocerans | QUALITY
Lauriea simulata | ACTOR
Law Number 32 | RESOURCE
Law | ACTOR
Ledong | LOCATION
Lepeophtheirus salmonis | ACTOR
Lepomis gibbosus | ACTOR
Levant Basin | LOCATION
Levant silver carp | ACTOR
Levantine | LOCATION
LiDAR | RESOURCE
Lian Yungang | LOCATION
Libya | LOCATION
Libyan | LOCATION
Lido Gandoli | LOCATION
Lido Silvana | LOCATION
Lingdingyang | LOCATION
Lingshui | LOCATION
Litter | RESOURCE
Littoral Fault Zone | RESOURCE
Littoral cell angioma ( LCA ) | PROCESS
Littoral environments | RESOURCE
Littoral | LOCATION
Livorno | LOCATION
Liza ramada | ACTOR
Lobelia dortmanna epiphyte complex | RESOURCE
Lobelia leaves | RESOURCE
Loess Plateau | LOCATION
Loligo | RESOURCE
Loriciferans | ACTOR
Loss | QUALITY
Louisana | LOCATION
Louisiana | LOCATION
Lovenia | RESOURCE
Low food quality | QUALITY
LtdClimate changes | PROCESS
LtdCoastal areas | LOCATION
LtdEstuarine | RESOURCE
LtdMarine debris | RESOURCE
LtdMarine ecosystems | RESOURCE
LtdSeabirds | ACTOR
LtdShrimp farming | PROCESS
Lubec | LOCATION
Lutrogale perspicillata | ACTOR
Luwuk | LOCATION
Luzon Strait | LOCATION
M . crystallinum | RESOURCE
M . modiolus | ACTOR
M . modiolus | RESOURCE
M2 tide | PROCESS
MALT0044C | RESOURCE
MBT | RESOURCE
MDiq | LOCATION
MEI : Pacific Ocean oscillation | QUALITY
MEI | QUALITY
MFG | RESOURCE
MGIS ( Marine Geographic Information System ) | RESOURCE
MPA | RESOURCE
MPAs | RESOURCE
MPs | RESOURCE
Maahas | LOCATION
Macajalar Bay | LOCATION
Macaroni Bay | LOCATION
Macau | LOCATION
Madarsoo River | LOCATION
Madarsoo | LOCATION
Madeira Island | LOCATION
Madeira | LOCATION
Magellanic penguin | ACTOR
Magnitude | QUALITY
Main Irrigation Channel | RESOURCE
Maine | LOCATION
Maintenance | PROCESS
Maize | RESOURCE
Malaysia | LOCATION
Mallorca | LOCATION
Malvn | LOCATION
Management efforts | RESOURCE
Management | PROCESS
Managers | ACTOR
Manakudi estuary | LOCATION
Manavalakurichi | LOCATION
Mangrove Forest | RESOURCE
Mangrove forests | RESOURCE
Mangrove vegetation | RESOURCE
Mangroves | RESOURCE
Mar Menor | LOCATION
Maresdar | LOCATION
Marine Nature Conservation Review ( MNCR ) | RESOURCE
Marine Protected Areas ( MPAs ) | LOCATION
Marine Protected Areas ( MPAs ) | RESOURCE
Marine Strategy Framework Directive | RESOURCE
Marine intertidal organisms | ACTOR
Marine macroalgae | RESOURCE
Marine particles | RESOURCE
Marine sand mining | PROCESS
Marintaman Beach | LOCATION
Marion Island | LOCATION
Marmara Sea | LOCATION
Marquenterre dunes | RESOURCE
Martil | LOCATION
Mastodia | LOCATION
Mayotte | LOCATION
Mediterranean RSL | QUALITY
Mediterranean Sea coast | LOCATION
Mediterranean Sea | LOCATION
Mediterranean basin | LOCATION
Mediterranean relative sea - level ( RSL ) | QUALITY
Mediterranean rising rates | QUALITY
Mediterranean rocky shores | LOCATION
Mediterranean sponge | RESOURCE
Mediterranean waters | LOCATION
Mediterranean | LOCATION
Mega - Float | RESOURCE
Megadyptes antipodes | ACTOR
Megafloat | RESOURCE
Meloria shoals | LOCATION
Mesembryanthemum crystallinum | RESOURCE
Mexico | LOCATION
Mg + + | RESOURCE
Mg | RESOURCE
Microorganisms | RESOURCE
Microphytobenthos | RESOURCE
Microplastics ( MPs ) | RESOURCE
Microplastics | RESOURCE
Middle East | LOCATION
Migrants | ACTOR
Milankovitch - scale | QUALITY
Minister of Fisheries and Oceans Canada | ACTOR
Minori | LOCATION
Mitochondrial cytochrome c oxidase subunit I ( COI ) sequences | RESOURCE
Mn | RESOURCE
Mobile coastal sediments | RESOURCE
Modiolus modiolus L . | ACTOR
Mollusks | RESOURCE
Mondego estuary | LOCATION
Monitoring program | RESOURCE
Monitoring | PROCESS
Monoporeia affinis | ACTOR
Montenegrin | LOCATION
Moroccan Atlantic coast | LOCATION
Moroccan authorities | ACTOR
Moroccan | LOCATION
Morphological modifications | QUALITY
Morphological stasis | QUALITY
Mortality rates | QUALITY
Mortality records | RESOURCE
Motooka | LOCATION
Mougeotia | RESOURCE
Mrisat | LOCATION
Muezersky district | LOCATION
Mugil cephalus | ACTOR
Mullus surmuletus | RESOURCE
Musa Bay | LOCATION
Muscat | LOCATION
Mute Swan | ACTOR
Mute Swans Cygnus olor | ACTOR
Myanmar | LOCATION
Mylopharyngodon piceus | ACTOR
Myrtaceae species | RESOURCE
Myrtaceae | RESOURCE
Myrtle rust | ACTOR
Mysis relicta Lovn | ACTOR
N - S | LOCATION
N - limitation | QUALITY
N - value | QUALITY
N . nomurai | ACTOR
N : P | QUALITY
N inputs | RESOURCE
N retention | PROCESS
N yields | PROCESS
N | RESOURCE
NAO ( North Pacific Ocean oscillation index ) | QUALITY
NBI | RESOURCE
NC | LOCATION
NDVI | QUALITY
NE | LOCATION
NH4 + - N | RESOURCE
NO2 - N | RESOURCE
NO3 - N | RESOURCE
NOx | RESOURCE
NP | ACTOR
NSAIDs | RESOURCE
NSCS water | RESOURCE
NSCS | LOCATION
NSW | LOCATION
NW Mediterranean Sea | LOCATION
NWSCS | LOCATION
Nanaloricus khaitatus | ACTOR
Nanaloricus | ACTOR
Nansha | LOCATION
Nantong | LOCATION
National Climate Change Adaptation Plan | RESOURCE
National Park ( NP ) | RESOURCE
National Recovery and Resilience Plan activities | RESOURCE
National Strategy on Climate Change Adaptation | RESOURCE
Natural and Socioeconomic subsystems | RESOURCE
Navicula | RESOURCE
Nemopilema nomurai venom ( NnV ) | RESOURCE
Nemopilema nomurai | ACTOR
Neogene depression | PROCESS
Netherlands | LOCATION
Neuse River estuary | LOCATION
New Brunswick | LOCATION
New South Wales | LOCATION
New York City ( NYC ) | LOCATION
New York | LOCATION
New Zealand | LOCATION
Ni | RESOURCE
Ningxia | LOCATION
Nitrate pollution | PROCESS
Nitrogen retention | PROCESS
NnV | RESOURCE
Non - conventional water resources | QUALITY
Nonlinear wake components | RESOURCE
Nord - Pas - de - Calais | LOCATION
Norte | LOCATION
North - Western region | LOCATION
North America | LOCATION
North Atlantic | LOCATION
North Jiangsu | LOCATION
North Pacific Ocean | LOCATION
North Sea | LOCATION
Northern Africa | LOCATION
Northern Ionian Sea | LOCATION
Northern Ireland | LOCATION
Northern South China Sea ( NSCS ) | LOCATION
Northern Territory | LOCATION
Northern Wheatear | ACTOR
Northern Wheatears | ACTOR
Northwestern Pacific | LOCATION
Nuphar luteum | RESOURCE
O2 | RESOURCE
O3 | RESOURCE
OSA | RESOURCE
OSAs | RESOURCE
OT | QUALITY
Ocean Island Basalt - like property | QUALITY
Ochrophyta | RESOURCE
Odobenus rosmarus | ACTOR
Oenanthe oenanthe | ACTOR
Oil pollution | PROCESS
Oil spills | PROCESS
Okobojo Bay | LOCATION
Oligochaeta | ACTOR
Oman | LOCATION
Omani | LOCATION
Oncorhynchus mykiss | ACTOR
Onyx blomei | ACTOR
Onyx cangionensis | ACTOR
Onyx cobbi | ACTOR
Onyx mangrovi | ACTOR
Onyx orientalis | ACTOR
Onyx paradimorphus | ACTOR
Onyx | ACTOR
Opatija | LOCATION
Opol | LOCATION
Optimal conditions | QUALITY
Oregon | ACTOR
Oregon | LOCATION
Oryza sativa | RESOURCE
Osmerus mordax | RESOURCE
Otter Working Group | ACTOR
Over - exploitation | PROCESS
