15N | RESOURCE
Caudata | ACTOR
Caulerpaceae | RESOURCE
Cd | RESOURCE
Cenozoic tectonic dynamic process | PROCESS
Central Canyon Gas Field | RESOURCE
Central Canyon lithologic trap zone | LOCATION
Central Java | LOCATION
Central Sulawesi | LOCATION
Cerithidea cingulata | RESOURCE
Chaetoceros | RESOURCE
Chaetomorpha vieillardii | RESOURCE
Changchang circum - sag trap zone | LOCATION
Changchang | LOCATION
Chanos Chanos | RESOURCE
Chemical Oxygen Demand ( COD ) | QUALITY
Chennai | LOCATION
Chile | ACTOR
Chilean waters | LOCATION
China Sea | LOCATION
China | ACTOR
China | LOCATION
Chinese National Antarctic Research Expedition ( CHINARE ) | ACTOR
Chinese characteristics | QUALITY
Chironomidae | ACTOR
Chironomus riparius Meigen | ACTOR
Chlorophyll ( Chla ) | RESOURCE
Chlorophyta | RESOURCE
Chondrosia reniformis | RESOURCE
Chydoridae | RESOURCE
Chydorus piger Sars | ACTOR
Cinachyrella cf . cavernosa | ACTOR
Cirratulidae | RESOURCE
Cirratulus | RESOURCE
Cirriformia | RESOURCE
Cl | RESOURCE
Cladophoraceae | RESOURCE
Climate change | PROCESS
Climate changes | PROCESS
Co | RESOURCE
Coastal Change Management Areas ( CCMA ) | RESOURCE
Coastal Natural Hazards | PROCESS
Coastal areas | LOCATION
Coastal bioengineering | PROCESS
Coastal cliff | RESOURCE
Coastal communities | ACTOR
Coastal habitats | RESOURCE
Coastal hydrodynamics | PROCESS
Coastal managers | ACTOR
Coastal sediment transport | PROCESS
Cocconeis | RESOURCE
Coenagrionidae damselflies | ACTOR
Coleoptera | ACTOR
Communities | ACTOR
Comond Formation | LOCATION
Compound flood | PROCESS
Comprehensive stock | QUALITY
Concentrations | QUALITY
Coquimbo harbor | LOCATION
Coral Triangle | LOCATION
Corethron pennatum | RESOURCE
County Mayo | LOCATION
Cr | RESOURCE
Crassostrea virginica | RESOURCE
Crimean | LOCATION
Croatia | LOCATION
Cryosols | RESOURCE
Cu | RESOURCE
Cyclone disaster mitigation arrangements | RESOURCE
Cymo melanodactylus | ACTOR
D . rostriformis bugensis | ACTOR
D . trifoliata | RESOURCE
D . trunculus | ACTOR
DBT | RESOURCE
DS | LOCATION
Daguangba reservoir | LOCATION
Daily productivity | QUALITY
Danube Delta Biosphere Reserve ( D . D . B . R . | LOCATION
Daphnia | RESOURCE
Daphniidae | RESOURCE
Dead Sea ( DS ) | LOCATION
Debris flow | PROCESS
Deepwater Horizon oil spill | PROCESS
Defence Meteorological Satellite Program - Operational Linescan System ( DMSP / OLS ) | RESOURCE
Deposition | PROCESS
Derris trifoliata | RESOURCE
Development of Coastal Management Methods to Achieve a Sustainable Coastal Sea | RESOURCE
Dexter | LOCATION
Diadema | ACTOR
Diptera | ACTOR
Disaster preparedness | QUALITY
Disasters | PROCESS
Disparalona | RESOURCE
Dissolved Oxygen ( DO ) | QUALITY
Dissolved manganese ( Mn ) | QUALITY
Doana National Park | LOCATION
Doana | LOCATION
Donax trunculus | ACTOR
Dreissena polymorpha | ACTOR
E . rhomboidea | RESOURCE
ESV | QUALITY
Early impregnation | PROCESS
East Asian - Australasian Flyway | LOCATION
East China Sea | LOCATION
Ecuador | LOCATION
Edge habitat | RESOURCE
Effective modeling | PROCESS
El - Qaa ' | LOCATION
El - Tor | LOCATION
El Cajoncito | RESOURCE
El Centenario | LOCATION
El Cien Formation | LOCATION
El Comitn | LOCATION
El Mogote | LOCATION
El Nio / | PROCESS
El Nio Southern Oscillation ( ENSO ) | PROCESS
El Nio | PROCESS
El Novillo | RESOURCE
El Salvador City | LOCATION
Eldana saccharina ( Walker ) | ACTOR
England | LOCATION
Entisols | RESOURCE
Environmental Protection Agency | ACTOR
Environmental conservation and management policy | RESOURCE
Ephemeroptera , Plecoptera and Trichoptera ( EPT ) | ACTOR
Escherichia coli | ACTOR
Espinho | LOCATION
Estonia | LOCATION
Estuarine macroalgae | RESOURCE
Eunotia veneris | RESOURCE
Europe | LOCATION
European Union | ACTOR
European and national policies and legislation | RESOURCE
European countries | ACTOR
European marine policies | RESOURCE
European | LOCATION
Evaporation duct | PROCESS
Exchangeable Sodium Percentage | QUALITY
Extreme weather events | PROCESS
Fe + | RESOURCE
Fe | RESOURCE
Fe2O3 | RESOURCE
Fertilizer application | PROCESS
Filipino - American community | ACTOR
Fin whale | ACTOR
Fin whales | ACTOR
Firkanten Formation | LOCATION
Fish assemblages | RESOURCE
Flooding | PROCESS
Florida | LOCATION
Forestland | RESOURCE
Fragmentation analysis | PROCESS
Freshwater littoral | LOCATION
Fucus | RESOURCE
Furadouro | LOCATION
GBM | LOCATION
GCL | RESOURCE
GCLs | RESOURCE
Gammaproteobacteria | ACTOR
Gelisols | RESOURCE
Geomorphological knowledge | RESOURCE
German Bight | LOCATION
Germany | LOCATION
Geukensia demissa | ACTOR
Global environmental - change drivers | ACTOR
Global tide and surge models | RESOURCE
Goa | LOCATION
Golestan Forest | LOCATION
Golestan reservoir | LOCATION
Gonatonotus nasutus | ACTOR
Gracilaria | RESOURCE
Granito Sierra de Las Cruces | LOCATION
Greece | ACTOR
Greece | LOCATION
Green building | PROCESS
Grnfjorden | LOCATION
Groundwater vulnerability | QUALITY
Groundwater | RESOURCE
Gsp 9 . 1 | RESOURCE
Guangdong Province | LOCATION
Gulf of Bothnia | LOCATION
Gulf of Guayaquil | LOCATION
Gulf of Mexico | LOCATION
Gulf of Suez | LOCATION
Gulf | LOCATION
H . beccarii | RESOURCE
HSA | LOCATION
Habitat loss | PROCESS
Haikou | LOCATION
Hainan Island | LOCATION
Halacaridae | ACTOR
Halophila beccarii Aschers | RESOURCE
Halophila beccarii | RESOURCE
Hammam Faroun | LOCATION
Hangzhou Bay | LOCATION
Harbours | RESOURCE
Healthy China | RESOURCE
Hemiptera | ACTOR
Hephestia | LOCATION
Herbivores | ACTOR
Hexanchiformes | ACTOR
Hexanchiformes | RESOURCE
Heyuan Fault | RESOURCE
High - frequency tide - surge - river interactions | QUALITY
Hiiumaa | LOCATION
Himalayan Mountains | LOCATION
Himalayan | LOCATION
Hoa Binh | LOCATION
Hong Kong Newt | ACTOR
Hong Kong | LOCATION
Huangshadong - Shiba area ( HSA ) | LOCATION
Huelva | LOCATION
Hurghada | LOCATION
Hyadesiidae | ACTOR
Hydrachnidia | ACTOR
Hygrobates Koch | ACTOR
Hygrobates aloisii | ACTOR
Hygrobatidae | ACTOR
I release into seawater | PROCESS
I | RESOURCE
I2 emission capacity | QUALITY
I2 emission into air | PROCESS
I2 emission rates | QUALITY
ICZM plans | RESOURCE
Iceland margin | LOCATION
Implementation | PROCESS
Imposex occurrence | QUALITY
Impregnation Fossil Lagersttte | PROCESS
India | ACTOR
India | LOCATION
IndiaEurasia collision | PROCESS
Indian Ocean | LOCATION
Indian | LOCATION
Individual parasequences | QUALITY
Individual production | PROCESS
Individuals | ACTOR
Indo - West Pacific ( IWP ) | LOCATION
Indonesia | LOCATION
IndosinianEurasian Plate collision | PROCESS
Industrial and municipal wastes | RESOURCE
International Protected Area | QUALITY
International coastal cater water quality standards | QUALITY
Intra - annual variability | QUALITY
Ireland | LOCATION
Isfjorden | LOCATION
Isla Canela | LOCATION
Israel | LOCATION
Italy | LOCATION
Japan International Cooperation Agency ( JICA ) | ACTOR
Japan | LOCATION
Jellyfish | ACTOR
Jiangsu Province ( CAJS ) | LOCATION
Jordan | LOCATION
Juvenile coho and chinook salmon | ACTOR
Juvenile pink , chum and sockeye salmon | ACTOR
Juveniles | QUALITY
K2O | RESOURCE
Keller Peninsula | LOCATION
Keller | LOCATION
Kendal District | LOCATION
Kerala | LOCATION
Kilo 5 | LOCATION
King George Island | LOCATION
Klebsiella pneumoniae | ACTOR
Kuroshio Water intrusion | PROCESS
Kuroshio Water | RESOURCE
L . digitata sporophytes | RESOURCE
L . digitata | RESOURCE
L . salmonis | ACTOR
L . simulata | ACTOR
LCA | PROCESS
LFZ | LOCATION
LLJ type | QUALITY
LLJ | PROCESS
LLJs | PROCESS
LP | ACTOR
La Nia | PROCESS
La Palma | RESOURCE
La Paz Lagoon | LOCATION
Lake Gardsjon | LOCATION
Laloki and Brown Rivers | LOCATION
Laminaria digitata | RESOURCE
Landfill caps | RESOURCE
Landforms | RESOURCE
Large - bodied cladocerans | QUALITY
Lasbela District | LOCATION
Latin America | LOCATION
Lauriea simulata | ACTOR
Law | ACTOR
Leaf | RESOURCE
Ledong | LOCATION
Lemnos Island | LOCATION
Lepeophtheirus salmonis | ACTOR
Lepomis gibbosus | ACTOR
Leptosols | RESOURCE
Leviton | ACTOR
Lian Yungang | LOCATION
Lingshui | LOCATION
Litter analysis | PROCESS
Littoral Fault Zone | LOCATION
Littoral cell angioma ( LCA ) | PROCESS
Littoral | LOCATION
Littorelletea | RESOURCE
Lobelia dortmanna epiphyte complex | RESOURCE
Lobelia leaves | RESOURCE
Local government | ACTOR
Local governments | ACTOR
Local residents | ACTOR
Location I | LOCATION
Location II | LOCATION
Los Bledales | RESOURCE
Loss | QUALITY
Louisiana | LOCATION
Low food quality | QUALITY
Luwuk | LOCATION
Luzon Strait | LOCATION
MALT0044C | RESOURCE
MBT | RESOURCE
MGIS ( Marine Geographic Information System ) | RESOURCE
MPAs | RESOURCE
Maahas | LOCATION
Macajalar Bay | LOCATION
Macaroni Bay | LOCATION
Madarsoo River | LOCATION
Madarsoo | LOCATION
Maize | RESOURCE
Malaysia | LOCATION
Malvn | LOCATION
Mangrove forests | RESOURCE
Mangroves | RESOURCE
Manila subduction zone | LOCATION
Marine intertidal organisms | ACTOR
Marintaman Beach | LOCATION
Marion Island | LOCATION
Maritime Antarctica | LOCATION
Maritime Continent ( MC ) | LOCATION
Mass flow processes | PROCESS
Mastodia | LOCATION
Mediterranean Sea | LOCATION
Mediterranean basin | LOCATION
Mediterranean sponge | RESOURCE
Mediterranean | LOCATION
Mexico | ACTOR
Mexico | LOCATION
Mg + + | RESOURCE
Mg | RESOURCE
MgO | RESOURCE
Michigan | LOCATION
Microplastics | RESOURCE
Milankovitch - scale | QUALITY
Minima batillaria | RESOURCE
Ministry of the Environment | ACTOR
MnO | RESOURCE
Mobile coastal sediments | RESOURCE
Morganella morganii | ACTOR
Moroccan Atlantic coast | LOCATION
Morocco | LOCATION
Mororejo | LOCATION
Morphological modifications | QUALITY
Morphological stasis | QUALITY
Mougeotia | RESOURCE
Musa Bay | LOCATION
Myrtaceae species | RESOURCE
Myrtaceae | RESOURCE
Myrtle rust | ACTOR
N inputs | RESOURCE
N retention | PROCESS
N yields | PROCESS
N | RESOURCE
NSCS water | RESOURCE
NSCS | LOCATION
NW | LOCATION
Na2O | RESOURCE
Nantong | LOCATION
Natural sites | RESOURCE
Natural | QUALITY
Navicula | RESOURCE
Nemopilema nomurai venom ( NnV ) | RESOURCE
Nemopilema nomurai | ACTOR
Neogene depression | PROCESS
Netherlands | LOCATION
New Brunswick | LOCATION
New South Wales | LOCATION
New York | LOCATION
New Zealand | LOCATION
Ni | RESOURCE
Nile Delta coast | LOCATION
Nile Delta coastal | LOCATION
Nile Delta | LOCATION
Nitrate pollution | PROCESS
Nitrogen retention | PROCESS
NnV | RESOURCE
Nonlinear wake components | RESOURCE
North Aegean Sea | LOCATION
North America | LOCATION
North Atlantic | LOCATION
North Pacific Ocean | LOCATION
Northern South China Sea ( NSCS ) | LOCATION
Northern Territory | LOCATION
Ocean Island Basalt - like property | QUALITY
Odobenus rosmarus | ACTOR
Oil pollution | PROCESS
Oil spills | PROCESS
Oligochaeta | ACTOR
Opatija | LOCATION
Opol | LOCATION
Optimal conditions | QUALITY
Oregon | ACTOR
Oregon | LOCATION
Over - exploitation | PROCESS
P . aeruginosa - BAS - Cr1 | RESOURCE
P . mirabilis | ACTOR
P . virgatus | ACTOR
P | RESOURCE
PAH concentrations | QUALITY
PAHs - contaminated aquatic environments | RESOURCE
PAHs | RESOURCE
PETZONE | LOCATION
PFAS pollution | PROCESS
PFAS | RESOURCE
PFASs | RESOURCE
PFBA | RESOURCE
PFOA | RESOURCE
PFOS | RESOURCE
PFPeA | RESOURCE
PNMs | RESOURCE
PPC | RESOURCE
PT . Plywood | LOCATION
PWG | ACTOR
Pacific Ocean | LOCATION
Pacific coast | LOCATION
Pacific salmon | ACTOR
Pacific subduction | PROCESS
Padina gymnospora | RESOURCE
Paleogene lift | PROCESS
Pamu - Ikla | LOCATION
Pando | LOCATION
Papua New Guinea | LOCATION
Paralia - Katerinis | LOCATION
Paramesotriton hongkongensis Myers | ACTOR
Pb | RESOURCE
Pearl River | LOCATION
Pelagos Sanctuary | LOCATION
Penaeus monodon | RESOURCE
Pennsylvanian Buckhorn Asphalt Quarry | RESOURCE
Pennsylvanian | LOCATION
Persian Gulf | LOCATION
Peru | ACTOR
Petrochemical Special Economic Zone ( PETZONE ) | LOCATION
Petrolisthes virgatus | ACTOR
Philippine Sea Plate | RESOURCE
Philippines | LOCATION
Photographic databases | RESOURCE
Phragmites australis | RESOURCE
Plants | RESOURCE
Plastics | RESOURCE
Plecoptera | ACTOR
Pocitos | LOCATION
Poland | LOCATION
Policy Working Group ( PWG ) | ACTOR
Polish coastal zone | LOCATION
Polycyclic Aromatic Hydrocarbons ( PAHs ) | RESOURCE
Polycyclic aromatic hydrocarbons ( PAHs ) | RESOURCE
Ponto - Caspian region | LOCATION
Population dynamics | PROCESS
Port Moresby | LOCATION
Port of Luwuk | LOCATION
Port | RESOURCE
Portland Pozzolana cement ( PPC ) | RESOURCE
Portugal | ACTOR
Portugal | LOCATION
Portuguese Exclusive Economic Zone and Territorial Waters | LOCATION
Portuguese | LOCATION
Posidonia oceanica meadows | RESOURCE
Potamididae | RESOURCE
Potential barriers | QUALITY
Prionospio | RESOURCE
Project Adriatic | PROCESS
Proteobacteria | ACTOR
Prydz Bay | LOCATION
Pseudo - nizschia | RESOURCE
Pseudogomphonema kamtshaticum | RESOURCE
Psychological preparedness | PROCESS
Pterapogon kauderni | ACTOR
Pungitus pungitus | RESOURCE
Purnia Gulf | LOCATION
Purpose - Corrosive agent | RESOURCE
Pyrogenic PAHs | QUALITY
QPF skill | QUALITY
Qiongdongnan Basin | LOCATION
Quanzhou City | LOCATION
Queensland | LOCATION
RPLI | QUALITY
RTs | QUALITY
Ramrez | LOCATION
Ras Malaab | LOCATION
Ras Mohamed | LOCATION
Reasoned management | QUALITY
Red Sea | LOCATION
Red river delta | LOCATION
Renzishi Fault | RESOURCE
Resuspension | PROCESS
Rhynchosporion albae | RESOURCE
Rijeka | LOCATION
Rio de Janeiro | LOCATION
Rmel - Oulad Ogbane coastal aquifer ( ROOCA ) | RESOURCE
Rotifera | RESOURCE
Russia | LOCATION
Ryukyu arc | LOCATION
SLR | PROCESS
SO3 | RESOURCE
SSC | QUALITY
SSS | RESOURCE
SST | QUALITY
SWI simulations | RESOURCE
SWI | PROCESS
SWR | PROCESS
Sabah | LOCATION
Saharan dust | PROCESS
Salamandridae | ACTOR
Salmo salar L . | ACTOR
Salvelinus alpinus | ACTOR
Santana | LOCATION
Sanya | LOCATION
Sasak community | ACTOR
Sasak | LOCATION
Schleswig - Holstein | LOCATION
Scree slope | RESOURCE
Sea - level rise ( SLR ) | PROCESS
SeaView Systems | ACTOR
Seagrasses | RESOURCE
Seawater intrusion | PROCESS
Secchi depth | QUALITY
Secondary factors | QUALITY
Senegal | LOCATION
Serpulid reefs | RESOURCE
Serpulidae | ACTOR
Sfantu Gheorghe | LOCATION
Shanmei Reservoir Basin | LOCATION
Shelf Water transport | PROCESS
Shells of benthic molluscs | RESOURCE
Shiba Basin | ACTOR
Shoots | RESOURCE
Shore platform | RESOURCE
Shoreline | LOCATION
Shoreline | RESOURCE
Shot blasting | PROCESS
SiO2 | RESOURCE
Sierra de Las Cruces | LOCATION
Simojoki river | LOCATION
Simpong | LOCATION
Sipitang | LOCATION
Site fidelity | QUALITY
Size spectra | QUALITY
Slag application | PROCESS
Slate | RESOURCE
Solar panels | RESOURCE
South America | LOCATION
South Asia | LOCATION
South Asian | LOCATION
South Atlantic | LOCATION
South China Sea ( SCS ) | LOCATION
South China Sea region | LOCATION
South China Sea | LOCATION
South China | LOCATION
South Korea | LOCATION
South Pacific | LOCATION
Southeast China | LOCATION
Southern Hemisphere | LOCATION
Southern Ocean | LOCATION
Sp . frugiperda | ACTOR
Spain | LOCATION
Spatial difference | QUALITY
Species composition | QUALITY
Species diversity | QUALITY
Species richness | QUALITY
Spionidae | RESOURCE
Spitsbergen | LOCATION
St . Lawrence River | LOCATION
Stigeoclonium tenue | RESOURCE
Ston | LOCATION
Storm surge | PROCESS
Sudr | LOCATION
Suitable habitat | QUALITY
Sulina | LOCATION
Sunda and Sahul shelves | RESOURCE
SurfROVer | RESOURCE
SurfROVers | RESOURCE
Surface faults | RESOURCE
Svalbard | LOCATION
Symbiotic anomuran and brachyuran crabs | ACTOR
T . aurantistellata | ACTOR
T . biserialis | ACTOR
T . brevidentata | ACTOR
T . kiosquiformis | ACTOR
TBT | RESOURCE
THg | QUALITY
TPH | RESOURCE
Taiwan | LOCATION
Tapping of solar energy | PROCESS
Tar - balls | RESOURCE
Tasmania | LOCATION
Telmatogeton amphibius | ACTOR
Terebralia sulcata | RESOURCE
Tethyan subduction / collision | PROCESS
Tetralia aurantistellata | ACTOR
Tetralia glaberrima | ACTOR
Tetralia nigrolineata | ACTOR
Tetralia rubridactyla | ACTOR
Thais biserialis | ACTOR
Thalassiosira | RESOURCE
The Study on Flood and Debris Flow in the Caspian Coastal Area Focusing on the Flood - Hit Region in Golestan Province | RESOURCE
Thermaikos Gulf | LOCATION
TiO2 | RESOURCE
Tidal current power generation system | RESOURCE
Tide - surge interaction | PROCESS
Tonalita La Buena Mujer | LOCATION
Tourist species | QUALITY
Trace elements | RESOURCE
Trace metals | RESOURCE
Trapezia cymodoce | ACTOR
Trapezia septata | ACTOR
Tremiti | LOCATION
Trichoptera | ACTOR
Tricladida | ACTOR
Trombidiformes | ACTOR
Tubes | RESOURCE
Tuscan Archipelago | LOCATION
U shaped - valleys | QUALITY
UK | LOCATION
Ulva profunda | RESOURCE
Ulvaceae | RESOURCE
Undernutrition | PROCESS
United States | LOCATION
Universal patterns | QUALITY
Urban | QUALITY
Urbanized | QUALITY
V | RESOURCE
Variations in ecological connectivity | QUALITY
Variations in the distribution | QUALITY
Veneroida | ACTOR
Venezuelan | LOCATION
Veracruz | LOCATION
Vertical profiles | QUALITY
Vibrio | ACTOR
W . Araba | LOCATION
W . Feiran | LOCATION
W . Sidri | LOCATION
WAP | LOCATION
WRB | RESOURCE
WRF | PROCESS
WVPS | QUALITY
Waigani Lake | LOCATION
Waitemata Group rocks | RESOURCE
Waitemata Group | RESOURCE
Walrus | ACTOR
Warm - sector heavy rainfall | QUALITY
Water Pollution Abatement in Littoral Area | PROCESS
Water managers | ACTOR
Water quality | QUALITY
Weiti Estuary | LOCATION
West - Estonian Archipelago | LOCATION
West Nusa Tenggara Province | LOCATION
Western Antarctic Peninsula ( WAP ) | LOCATION
Western Australia | LOCATION
Wind - related disasters | PROCESS
Wireless Sensor Network fWSN ) | RESOURCE
World Bank | ACTOR
Yancheng | LOCATION
Yangpu | LOCATION
Yangtze Estuary | LOCATION
Zadar | LOCATION
Zijin - Boluo Fault | RESOURCE
Zn | RESOURCE
Zoanthus sansibaricus | ACTOR
Zonation | PROCESS
Zoo - and phytoplankton densities | QUALITY
abdominal discomfort | PROCESS
abiotic factors | QUALITY
abnormal level | QUALITY
above - ground | LOCATION
abundance time series | QUALITY
abundance | QUALITY
abundances | QUALITY
accretion | PROCESS
accumulation | PROCESS
acid deposition | PROCESS
acid precipitation | PROCESS
acid rain | PROCESS
active conservation | QUALITY
adaptation strategies | RESOURCE
adaptation | PROCESS
adaptation | QUALITY
administrators | ACTOR
adult Pacific salmon | ACTOR
adult salmon | ACTOR
adult | QUALITY
adults | ACTOR
adults | QUALITY
adverse effects | PROCESS
aerial platforms | RESOURCE
affected areas | LOCATION
affected people | QUALITY
afforestation | PROCESS
agar | RESOURCE
agricultural activities | PROCESS
agricultural contamination | PROCESS
agricultural land | RESOURCE
agricultural soils | RESOURCE
agricultural use | PROCESS
agricultural | PROCESS
agriculture | PROCESS
air pollution exposure | PROCESS
air pollution | PROCESS
air | RESOURCE
aircraft | RESOURCE
algae blooms | PROCESS
algae | RESOURCE
algal | RESOURCE
alginic acid | RESOURCE
alkylated PAH | QUALITY
alkylated PAHs | QUALITY
all - hazards / all - decisions | RESOURCE
allergens | RESOURCE
alluvial fans | RESOURCE
aloft | LOCATION
alpine lake | RESOURCE
alteration | PROCESS
alterations | PROCESS
alternative measures | RESOURCE
alternative strategies | RESOURCE
alternatives | RESOURCE
altitude | QUALITY
aluminum industrial complex | RESOURCE
amphibole | RESOURCE
amplitudes | QUALITY
anatase | RESOURCE
annual average of runoff | QUALITY
annual precipitation | QUALITY
annual production ( P ) | PROCESS
annual water level fluctuations | QUALITY
anomalous refraction phenomenon | QUALITY
anomuran and brachyuran crab fauna | ACTOR
anomuran symbionts | ACTOR
anthracene | RESOURCE
anthropisation degree | QUALITY
anthropisation | PROCESS
anthropogenic alterations | PROCESS
anthropogenic and climatic factors | QUALITY
anthropogenic eutrophication | PROCESS
anthropogenic factor | ACTOR
anthropogenic influences | PROCESS
anthropogenic land - based activities | PROCESS
anthropogenic pollution | PROCESS
anthropogenic source | QUALITY
anthropogenic | ACTOR
antibiotic compounds | RESOURCE
antibiotic residues | RESOURCE
antifouling paints | RESOURCE
antiscalants | RESOURCE
antisubmarine capabilities | QUALITY
apatite | RESOURCE
apex predator | ACTOR
apex predators | ACTOR
aquaculture farms | RESOURCE
aquatic ecosystems | RESOURCE
aquatic life | ACTOR
aquatic sediments | RESOURCE
aquatic systems | RESOURCE
aqueous Ca | RESOURCE
aqueous solution | RESOURCE
aquifer pollution | PROCESS
aquifer systems | RESOURCE
aquifer | RESOURCE
aquifers | RESOURCE
aragonite | RESOURCE
archaeological settlement | RESOURCE
archaeological sites | RESOURCE
archipelago | LOCATION
areas of coastal change | RESOURCE
arroyos La Ardilla | RESOURCE
artefacts | RESOURCE
artificial recharge | QUALITY
ash - free dry mass ( AFDW ) | QUALITY
assemblage composition | QUALITY
assemblage | RESOURCE
assemblages | RESOURCE
atmospheric CO2 | RESOURCE
atmospheric anomalies | PROCESS
atmospheric boundary layer | RESOURCE
atmospheric pCO2 | QUALITY
attacks | PROCESS
attribution | QUALITY
autochthonous tree species | QUALITY
availability | QUALITY
available area | RESOURCE
average temperature | QUALITY
back reef zone | LOCATION
bacterial communities | ACTOR
bar systems | RESOURCE
barrier bars | LOCATION
barrier | RESOURCE
basal unconformity surface | QUALITY
basalt | RESOURCE
basalts | RESOURCE
base level variations | PROCESS
basin floor | RESOURCE
basin | RESOURCE
basins | RESOURCE
bathymetry | QUALITY
battery - operated crawler | RESOURCE
battery - powered propulsion system | RESOURCE
bays | LOCATION
beach litter | RESOURCE
beach prism | QUALITY
beach risk - management | PROCESS
beach | RESOURCE
beaches | LOCATION
beaches | RESOURCE
beluga | ACTOR
benign | QUALITY
benthic algal biomass | QUALITY
benthic algal production | PROCESS
benthic communities | ACTOR
benthic filamentous algae | RESOURCE
benthic genera | QUALITY
benthic invertebrates | ACTOR
benthic macroinvertebrate community structure | QUALITY
benthic pelagic coupling | PROCESS
benthic size distributions | QUALITY
benthic species | RESOURCE
benthonic foraminifera species | RESOURCE
benthonic foraminifera | RESOURCE
benthonic foraminiferal | RESOURCE
benzene | RESOURCE
benzo | RESOURCE
berthing - priority - based incentive policy | RESOURCE
bethnic communities | ACTOR
bio - optical indices | QUALITY
bioaccumulation | PROCESS
bioaugmentation | PROCESS
bioconcentration factors | QUALITY
bioconstruction | PROCESS
biodegradation | PROCESS
biodiversity impacts | PROCESS
biodiversity | RESOURCE
biofouling control | PROCESS
biogeochemical processes | PROCESS
biogeographic barriers | PROCESS
biogeographic processes | PROCESS
bioindicator | RESOURCE
bioindicators | RESOURCE
