( micro ) habitats | RESOURCE
Whooper Swans C . cygnus | ACTOR
Wildlife Reserves Singapore | ACTOR
Wonorejo Estuary | LOCATION
Wonorejo River | LOCATION
Wonorejo | LOCATION
Xiphophorus helleii | ACTOR
Yamachiche | LOCATION
Yangtze River Economic Belt ( YREB ) | LOCATION
Yangtze River | LOCATION
Yellow River Delta | LOCATION
Yellow River | LOCATION
Yellow Sea | LOCATION
Yunnan | LOCATION
Zhejiang | LOCATION
Zhuhai | LOCATION
abrasion | PROCESS
abscisic acid | RESOURCE
abundance | QUALITY
academic researchers | ACTOR
acceptable daily intake | QUALITY
accessibility | QUALITY
accommodate | PROCESS
accommodation space | QUALITY
accretion | PROCESS
accumulation | PROCESS
accumulator | QUALITY
acidification | PROCESS
active faults | RESOURCE
active margin | RESOURCE
activities | PROCESS
adaptation measures | RESOURCE
adaptation responses | RESOURCE
adaptation strategies | RESOURCE
adaptation strategy | RESOURCE
adaptation | PROCESS
additive compounds | RESOURCE
administrators | ACTOR
adult | ACTOR
adverse effects | PROCESS
adverse impacts | PROCESS
afforestation sites | LOCATION
afforestation | PROCESS
afforesting | PROCESS
agar | RESOURCE
age structure | QUALITY
aggregate | PROCESS
aggregation frequency | QUALITY
aggregation product | RESOURCE
aggregation | PROCESS
aggregations | QUALITY
agricultural activity | PROCESS
agricultural drainage | PROCESS
agricultural fields | RESOURCE
agricultural producers | ACTOR
agricultural regions | RESOURCE
agriculture | PROCESS
air | RESOURCE
airport | RESOURCE
airports | RESOURCE
algae | RESOURCE
algal - derived products | RESOURCE
algal blooms | PROCESS
algal growth | PROCESS
algal | RESOURCE
alginate | RESOURCE
alien species | ACTOR
allelopathy | PROCESS
allocation | PROCESS
alteration | PROCESS
alterations | PROCESS
altered | QUALITY
alternative farming | PROCESS
alternative management | PROCESS
amenities | RESOURCE
amino acids | RESOURCE
amphid | RESOURCE
amphidial fovea | RESOURCE
amphipod | ACTOR
amphipods | ACTOR
amplitude | QUALITY
analysis | PROCESS
anatomical acclimation | PROCESS
animal foods | RESOURCE
animals | ACTOR
animals | RESOURCE
annuals | QUALITY
anomalous | QUALITY
anthropisation | PROCESS
anthropogenic activities | PROCESS
anthropogenic activity | ACTOR
anthropogenic pressure | PROCESS
anthropogenic | ACTOR
anthropologic disturbance | PROCESS
antibiotic | RESOURCE
anticipation | PROCESS
antioxidant compounds | RESOURCE
antioxidative enzymes | RESOURCE
applications | PROCESS
approaches | RESOURCE
aquaculture industry | ACTOR
aquaculture production | PROCESS
aquaculture resources | RESOURCE
aquaculture | PROCESS
aquatic - terrestrial ecosystems | RESOURCE
aquatic alien insect | ACTOR
aquatic ecosystems | RESOURCE
aquatic environments | RESOURCE
aquatic organisms | RESOURCE
aquatic systems | RESOURCE
aquatic vegetation | RESOURCE
aquifer | RESOURCE
aquifers | RESOURCE
arable | QUALITY
arag | QUALITY
aragonite saturation state index ( arag ) | QUALITY
armouring | PROCESS
arthropods | RESOURCE
ascorbic acid | RESOURCE
assemblage | RESOURCE
assemblages | RESOURCE
assessment | PROCESS
assessments | PROCESS
assets | RESOURCE
assimilation | PROCESS
asthenospheric mantle | RESOURCE
astronomical tide | PROCESS
atmospheric CO2 | RESOURCE
attenuation | PROCESS
attitudes | QUALITY
attractiveness | QUALITY
autotrophs | ACTOR
auxin | RESOURCE
availability | QUALITY
avian species | ACTOR
bacterial community | ACTOR
bacterial community | RESOURCE
bacterial groups | ACTOR
bacterial phylogenetic groups | ACTOR
bacterial pollution | PROCESS
bacterial production | PROCESS
bacterial species | ACTOR
bacterioplankton | ACTOR
barges | RESOURCE
barriers | RESOURCE
bars | RESOURCE
basin | LOCATION
basin | RESOURCE
basins | RESOURCE
bathymetric profiles | QUALITY
bathymetry | QUALITY
bay | LOCATION
beach nourishment | PROCESS
beach | RESOURCE
beaches | LOCATION
beaches | RESOURCE
bearded seals | ACTOR
bed boundary layer | RESOURCE
behaviour - related problems | QUALITY
behavioural strategies | RESOURCE
belt | RESOURCE
benthic algae | RESOURCE
benthic bacterial | RESOURCE
benthic coastal habitats | RESOURCE
benthic community | RESOURCE
benthic ecosystem | RESOURCE
benthic macroalgae | RESOURCE
benthic | QUALITY
betacyanin | RESOURCE
bighead carp | ACTOR
bimodal magmatism | PROCESS
bioaccumulation levels | QUALITY
bioaccumulation mechanisms | QUALITY
bioactive compounds | RESOURCE
biodegration | PROCESS
biodiversity loss | PROCESS
biodiversity | QUALITY
biodiversity | RESOURCE
biofilm productivity | QUALITY
biofilm | RESOURCE
biofilms | RESOURCE
bioindicator | RESOURCE
biomanipulation | PROCESS
biomass fluctuations | QUALITY
biomass | QUALITY
biomass | RESOURCE
bioproducts | RESOURCE
biorefinery applications | PROCESS
bioremediation | PROCESS
biostimulant | RESOURCE
biota | ACTOR
biota | RESOURCE
biotic communities | RESOURCE
biotic province | RESOURCE
biotopes | RESOURCE
bioturbation | PROCESS
bird | ACTOR
birds | ACTOR
bivalve farming | PROCESS
bivalves | RESOURCE
black - tailed gull eggs | RESOURCE
black - tailed gulls | ACTOR
black carp | ACTOR
bodies | RESOURCE
body condition | QUALITY
body forces | PROCESS
border closures | PROCESS
borehole | RESOURCE
borrow | PROCESS
bottom sediments | RESOURCE
bottom topography | QUALITY
bottom trawlers | RESOURCE
bottom | LOCATION
boulders | RESOURCE
brackish - water ecosystem | RESOURCE
brackish environments | RESOURCE
brackish waters | RESOURCE
break - off | PROCESS
breakdown | PROCESS
breakwater | RESOURCE
breakwaters | RESOURCE
breed | PROCESS
breeding populations | ACTOR
breeding | PROCESS
brown algae | RESOURCE
bryozoan patches | RESOURCE
building | RESOURCE
buildings | RESOURCE
bulk bacterial production | PROCESS
bulk density | QUALITY
caddisflies | ACTOR
cadmium | RESOURCE
cage culture | PROCESS
cage farming | PROCESS
caldera | LOCATION
camarodonts | RESOURCE
canals | RESOURCE
canister | RESOURCE
canyon | RESOURCE
canyons | RESOURCE
capital city | LOCATION
carbamazepine | RESOURCE
carbon ( C ) | RESOURCE
carbon emission | PROCESS
carbon | RESOURCE
carbonate dynamics | PROCESS
carib pointed - venus | RESOURCE
carnivorous species | RESOURCE
carrageenan | RESOURCE
cascading impacts | PROCESS
catastrophic events | PROCESS
catastrophic | QUALITY
catch compositions | QUALITY
catchment loads | PROCESS
cell circulation | PROCESS
cephalic setae | RESOURCE
cetaceans | RESOURCE
change rate | QUALITY
change | PROCESS
characterization | PROCESS
chironomid larvae | ACTOR
chironomids | RESOURCE
chloramphenicol | RESOURCE
chloride | RESOURCE
chlorophyll | RESOURCE
chlorpyrifos - methyl | RESOURCE
chlorpyrifos | RESOURCE
chromium ( Cr ) | RESOURCE
chromium | RESOURCE
chronic hydrocarbon pollution | PROCESS
chronic photoinhibition | PROCESS
cidaroid | RESOURCE
cidaroids | RESOURCE
ciliates | ACTOR
circum - Mediterranean area | LOCATION
circumpolar distribution | QUALITY
cities | LOCATION
city center | LOCATION
city | LOCATION
civil engineering | PROCESS
clam | RESOURCE
class | QUALITY
classes | QUALITY
classification | QUALITY
cleaning | PROCESS
climate change policy | RESOURCE
climate change scenarios | RESOURCE
climate change | PROCESS
climate variability | QUALITY
climate warming | PROCESS
climates | QUALITY
climatic scenario | QUALITY
climatic | PROCESS
clypeasteroids | RESOURCE
coarse sediments | RESOURCE
coarse | QUALITY
coast | LOCATION
coast | RESOURCE
coastal and inland wetland areas | LOCATION
coastal animals | RESOURCE
coastal anthroposcapes | RESOURCE
coastal aquaculture | PROCESS
coastal aquifers | RESOURCE
coastal area | LOCATION
coastal area | RESOURCE
coastal areas | LOCATION
coastal areas | RESOURCE
coastal belt | LOCATION
coastal block | RESOURCE
coastal boundary fault | LOCATION
coastal cattail Typha litoralis | RESOURCE
coastal change | PROCESS
coastal changes | PROCESS
coastal characterization | PROCESS
coastal cities | LOCATION
