Sentence,Labels,yake_preds_en,text_rank_preds_en,single_rank_preds_en,topical_page_rank_preds_en,multipartie_rank_preds_en,position_rank_preds_en,topic_rank_preds_en
"However , most of the investigations were site - specific without providing a generalised perspective , and in many cases , the interaction was not considered in totality","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['generalised perspective', 'totality', 'investigations', 'site', 'specific', 'providing', 'generalised', 'perspective', 'cases', 'interaction']","['generalised perspective', 'many']","['generalised perspective', 'many cases', 'specific', 'interaction', 'site', 'investigations', 'totality', 'most']","['generalised perspective', 'site', 'many cases', 'investigations', 'interaction', 'totality']","['site', 'specific', 'investigations', 'generalised perspective', 'interaction', 'totality']","['generalised perspective', 'many cases', 'investigations', 'site', 'interaction', 'totality']","['site', 'specific', 'investigations', 'generalised perspective', 'interaction', 'totality']"
"Also , certain critical sites have not received the attention of the scientific and research community","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['certain critical sites', 'research community', 'certain critical', 'critical sites', 'community', 'certain', 'critical', 'sites', 'received', 'attention']","['critical', 'research']","['certain critical sites', 'research community', 'attention', 'scientific']","['certain critical sites', 'attention', 'research community']","['scientific', 'research community', 'attention', 'certain critical sites']","['certain critical sites', 'attention', 'research community']","['scientific', 'research community', 'attention', 'certain critical sites']"
"These are dam reservoirs and wetlands in the Himalayas , eco - sensitive areas in North - Eastern India , submarine GW discharge sites at islands , and desertic and karstic terrains","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']","['eastern india', 'karstic terrains', 'dam reservoirs', 'sensitive areas', 'discharge sites', 'himalayas', 'north', 'eastern', 'india', 'terrains']","['gw discharge', 'dam reservoirs', 'sensitive']","['submarine gw discharge sites', 'eastern india', 'sensitive areas', 'karstic terrains', 'dam reservoirs', 'north', 'eco', 'islands', 'himalayas', 'desertic']","['submarine gw discharge sites', 'eastern india', 'sensitive areas', 'karstic terrains', 'dam reservoirs', 'north', 'eco', 'islands', 'himalayas', 'wetlands']","['sensitive areas', 'submarine gw discharge sites', 'eastern india', 'north', 'eco', 'himalayas', 'islands', 'wetlands', 'desertic', 'dam reservoirs']","['dam reservoirs', 'sensitive areas', 'eastern india', 'eco', 'himalayas', 'wetlands', 'north', 'karstic terrains', 'islands']","['sensitive areas', 'submarine gw discharge sites', 'eastern india', 'north', 'eco', 'himalayas', 'islands', 'wetlands', 'desertic', 'dam reservoirs']"
"On a regional scale , very few research articles are available for India ' s Western and Central regions","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['central regions', 'regional scale', 'research articles', 'india', 'western', 'central', 'regions', 'regional', 'scale', 'research']","['regional scale', 'research']","['few research articles', 'regional scale', 'central regions', 'available', 'india', 'western']","['few research articles', 'central regions', 'regional scale', 'india']","['india', 'regional scale', 'western', 'available', 'central regions']","['few research articles', 'regional scale', 'central regions', 'india']","['regional scale', 'india', 'western', 'available']"
"Accordingly , all such regions need to be explored in the upcoming studies","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['upcoming studies', 'regions need', 'accordingly', 'studies', 'regions', 'need', 'explored', 'upcoming']",['such'],"['upcoming studies', 'such regions']","['such regions', 'upcoming studies']",['upcoming studies'],"['such regions', 'upcoming studies']",['upcoming studies']
"In the context of flux quantification methodology , modern techniques like geophysical methods and fully coupled numerical models were used fewer times than conventional techniques such as isotopic , hydrochemical and hydrological analyses","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['flux quantification methodology', 'like geophysical methods', 'fully coupled numerical', 'coupled numerical models', 'modern techniques like', 'techniques like geophysical', 'hydrological analyses', 'flux quantification', 'like geophysical', 'geophysical methods']","['geophysical methods', 'techniques', 'quantification', 'numerical']","['conventional techniques such', 'modern techniques', 'flux quantification methodology', 'geophysical methods', 'numerical models', 'fewer times', 'hydrological analyses', 'hydrochemical', 'isotopic', 'context']","['modern techniques', 'conventional techniques', 'flux quantification methodology', 'geophysical methods', 'numerical models', 'fewer times', 'hydrological analyses', 'context']","['modern techniques', 'flux quantification methodology', 'hydrochemical', 'geophysical methods', 'isotopic', 'numerical models', 'hydrological analyses', 'fewer times', 'context']","['flux quantification methodology', 'modern techniques', 'conventional techniques', 'geophysical methods', 'numerical models', 'fewer times', 'context', 'hydrological analyses']","['modern techniques', 'flux quantification methodology', 'hydrochemical', 'geophysical methods', 'isotopic', 'numerical models', 'hydrological analyses', 'fewer times', 'context']"
"Therefore , extensive data collection and modern methods are recommended to study complex systems and obtain more accurate information","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['extensive data collection', 'study complex systems', 'accurate information', 'extensive data', 'data collection', 'modern methods', 'study complex', 'complex systems', 'information', 'extensive']","['data', 'modern']","['extensive data collection', 'complex systems', 'modern methods', 'accurate information']","['complex systems', 'extensive data collection', 'modern methods', 'accurate information']","['modern methods', 'extensive data collection', 'complex systems', 'accurate information']","['extensive data collection', 'modern methods', 'complex systems', 'accurate information']","['modern methods', 'extensive data collection', 'complex systems', 'accurate information']"
"Further , the government sector seems reluctant to recognise this concept since , in various reports , complete information is unavailable for the interaction mechanism , and only some aspects of the phenomenon have been considered","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['government sector', 'complete information', 'interaction mechanism', 'considered', 'government', 'sector', 'reluctant', 'recognise', 'concept', 'reports']","['various reports', 'government sector']","['interaction mechanism', 'various reports', 'complete information', 'government sector', 'concept', 'unavailable', 'reluctant', 'aspects', 'phenomenon']","['complete information', 'interaction mechanism', 'various reports', 'government sector', 'concept', 'aspects', 'phenomenon']","['unavailable', 'complete information', 'reluctant', 'interaction mechanism', 'government sector', 'aspects', 'concept', 'phenomenon']","['various reports', 'government sector', 'complete information', 'interaction mechanism', 'concept', 'aspects', 'phenomenon']","['unavailable', 'complete information', 'reluctant', 'interaction mechanism', 'government sector', 'aspects', 'concept', 'phenomenon']"
"Additionally , there are anomalies in the GW recharge estimation from non - rainfall sources","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['rainfall sources', 'recharge estimation', 'additionally', 'sources', 'anomalies', 'recharge', 'estimation', 'non', 'rainfall']",['rainfall'],"['rainfall sources', 'non', 'estimation', 'gw', 'anomalies']","['rainfall sources', 'gw', 'estimation', 'anomalies']","['non', 'estimation', 'rainfall sources', 'anomalies']","['rainfall sources', 'gw', 'estimation', 'anomalies']","['non', 'estimation', 'rainfall sources', 'anomalies']"
"Hence , we suggest an institutional framework that allows the stakeholders to undertake detailed investigations for any interaction setup and frame an appropriate strategy for handling the country ' s water issues","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['undertake detailed investigations', 'water issues', 'institutional framework', 'undertake detailed', 'detailed investigations', 'interaction setup', 'appropriate strategy', 'issues', 'suggest', 'institutional']","['institutional framework', 'detailed']","['appropriate strategy', 'detailed investigations', 'interaction setup', 'water issues', 'institutional framework', 'stakeholders', 'country']","['appropriate strategy', 'interaction setup', 'detailed investigations', 'water issues', 'institutional framework', 'stakeholders', 'country']","['detailed investigations', 'interaction setup', 'stakeholders', 'appropriate strategy', 'country', 'water issues', 'institutional framework']","['detailed investigations', 'appropriate strategy', 'institutional framework', 'interaction setup', 'stakeholders', 'water issues', 'country']","['detailed investigations', 'interaction setup', 'stakeholders', 'appropriate strategy', 'country', 'water issues', 'institutional framework']"
